strength,structure,background,target,type,avg_likert_rating,potential_match_scenarios,num_potential_matches
mild,cc,Isamu has the opportunity to organize an interactive outdoor art exhibit.,"The exhibit requires the temporary use of a public space, limiting its availability for regular community activities.",harm,3.7,"{55: 'Isamu, an Artist, faces a moral dilemma. Isamu has the opportunity to organize an interactive outdoor art exhibit. As a means to increase local interest in art, the exhibit requires the temporary use of a public space, limiting its availability for regular community activities. If Isamu does not organize the exhibit, the temporary use of the public space and the resulting limitation on community activities would not happen. Isamu organizes the exhibit.', 155: 'Isamu, an Artist, faces a moral dilemma. Isamu has the opportunity to organize an interactive outdoor art exhibit. As a means to increase local interest in art, the exhibit requires the temporary use of a public space, limiting its availability for regular community activities. If Isamu does not organize the exhibit, the temporary use of the public space and the resulting limitation on community activities would still happen because of a local festival. Isamu organizes the exhibit.'}",2
severe,coc,Diego has the opportunity to convert his store into an electric vehicle shop.,"As a side effect of the conversion process, toxic chemicals are released into a local water supply, drastically affecting the health of the local community.",harm,1.55,"{7: 'Diego, a Mechanic, faces a moral dilemma. Diego has the opportunity to convert his store into an electric vehicle shop. The conversion significantly reduces the cost of maintaining vehicles for his customers, as well as reduced taxes due to more environmentally friendly cars. As a side effect of achieving the significant reduction in the cost of maintaining vehicles and reduced taxes due to more environmentally friendly cars, toxic chemicals are released into a local water supply, drastically affecting the health of the local community. If Diego does not convert his store into an electric vehicle shop, the release of toxic chemicals into the local water supply would not happen. Diego converts his store into an electric vehicle shop.', 37: ""Diego, a Mechanic, faces a moral dilemma. Diego has the opportunity to convert his store into an electric vehicle shop. The conversion significantly reduces the cost of maintaining vehicles for his customers, as well as reduced taxes due to more environmentally friendly cars. As a side effect of achieving the significant reduction in the cost of maintaining vehicles and reduced taxes due to more environmentally friendly cars, toxic chemicals are released into a local water supply, drastically affecting the health of the local community. If Diego does not convert his store into an electric vehicle shop, the release of toxic chemicals into the local water supply would still happen because of an industrial accident in Diego's town. Diego converts his store into an electric vehicle shop.""}",2
severe,coc,Diego has the opportunity to convert his store into an electric vehicle shop.,"The conversion significantly reduces the cost of maintaining vehicles for his customers, as well as reduced taxes due to more environmentally friendly cars.",good,6.4,"{7: 'Diego, a Mechanic, faces a moral dilemma. Diego has the opportunity to convert his store into an electric vehicle shop. The conversion significantly reduces the cost of maintaining vehicles for his customers, as well as reduced taxes due to more environmentally friendly cars. As a side effect of achieving the significant reduction in the cost of maintaining vehicles and reduced taxes due to more environmentally friendly cars, toxic chemicals are released into a local water supply, drastically affecting the health of the local community. If Diego does not convert his store into an electric vehicle shop, the release of toxic chemicals into the local water supply would not happen. Diego converts his store into an electric vehicle shop.', 37: ""Diego, a Mechanic, faces a moral dilemma. Diego has the opportunity to convert his store into an electric vehicle shop. The conversion significantly reduces the cost of maintaining vehicles for his customers, as well as reduced taxes due to more environmentally friendly cars. As a side effect of achieving the significant reduction in the cost of maintaining vehicles and reduced taxes due to more environmentally friendly cars, toxic chemicals are released into a local water supply, drastically affecting the health of the local community. If Diego does not convert his store into an electric vehicle shop, the release of toxic chemicals into the local water supply would still happen because of an industrial accident in Diego's town. Diego converts his store into an electric vehicle shop.""}",2
mild,coc,"Diego has the opportunity to use a new, more efficient hydraulic lift in his garage.","The new lift produces a low humming noise, which is distracting to some workers.",harm,3.7,"{7: 'Diego, a Mechanic, faces a moral dilemma. Diego has the opportunity to use a new, more efficient hydraulic lift in his garage. The new lift helps with the repairs of a small subset of vehicles. As a side effect of helping with the repairs of a small subset of vehicles, the new lift produces a low humming noise, which is distracting to some workers. If Diego does not use the new hydraulic lift, the low humming noise would not happen. Diego uses the new, more efficient hydraulic lift.', 157: 'Diego, a Mechanic, faces a moral dilemma. Diego has the opportunity to use a new, more efficient hydraulic lift in his garage. The new lift helps with the repairs of a small subset of vehicles. As a side effect of helping with the repairs of a small subset of vehicles, the new lift produces a low humming noise, which is distracting to some workers. If Diego does not use the new hydraulic lift, the low humming noise would still happen because industry-wide advancements lead to the adoption of more efficient hydraulic lifts. Diego uses the new, more efficient hydraulic lift.'}",2
mild,coc,Isamu has the opportunity to use a new type of eco-friendly paint for his artworks.,This paint is slightly less smelly.,good,5.8,{},0
mild,cc,Thanh has the opportunity to initiate a graffiti removal project in local neighborhoods.,The initiative removes unpleasant graffiti.,good,5.75,"{59: 'Thanh, a Policeman, faces a moral dilemma. Thanh has the opportunity to initiate a graffiti removal project in local neighborhoods. As a means to remove unpleasant graffiti, the graffiti removal project requires covering up street murals that have artistic value. If Thanh does not initiate the graffiti removal project, the covering up of street murals that have artistic value would not happen. Thanh initiates the graffiti removal project.', 159: 'Thanh, a Policeman, faces a moral dilemma. Thanh has the opportunity to initiate a graffiti removal project in local neighborhoods. As a means to remove unpleasant graffiti, the graffiti removal project requires covering up street murals that have artistic value. If Thanh does not initiate the graffiti removal project, the covering up of street murals that have artistic value would still happen because of a city beautification campaign. Thanh initiates the graffiti removal project.'}",2
severe,cc,Diego has the opportunity to convert his traditional auto repair shop into an electric vehicle service center.,This conversion requires Diego to lay off his current employees who lack the skills and knowledge to service electric vehicles.,harm,2.45,"{17: ""Diego, a Mechanic, faces a moral dilemma. Diego has the opportunity to convert his traditional auto repair shop into an electric vehicle service center. As a means to achieve the highly profitable and more sustainable conversion to an electric vehicle service center, Diego's conversion requires him to lay off his current employees who lack the skills and knowledge to service electric vehicles. If Diego does not convert his traditional auto repair shop into an electric vehicle service center, the layoff of his current employees would not happen. Diego converts his traditional auto repair shop into an electric vehicle service center."", 37: ""Diego, a Mechanic, faces a moral dilemma. Diego has the opportunity to convert his traditional auto repair shop into an electric vehicle service center. As a means to achieve the highly profitable and more sustainable conversion to an electric vehicle service center, Diego's conversion requires him to lay off his current employees who lack the skills and knowledge to service electric vehicles. If Diego does not convert his traditional auto repair shop into an electric vehicle service center, the layoff of his current employees would still happen because a new law mandating the phase-out of gasoline vehicles is coming into effect. Diego converts his traditional auto repair shop into an electric vehicle service center.""}",2
mild,cc,Sanaa has the opportunity to conduct a series of intensive mock trials for her law firm's junior associates.,The mock trials require extra work hours for the junior associates.,harm,4.05,"{56: ""Sanaa, a Lawyer, faces a moral dilemma. Sanaa has the opportunity to conduct a series of intensive mock trials for her law firm's junior associates. As a means to slightly improve the litigation skills of the junior associates, conducting a series of intensive mock trials requires extra work hours for the junior associates. If Sanaa does not conduct the mock trials, the extra work hours for the junior associates would not happen. Sanaa conducts the mock trials."", 156: ""Sanaa, a Lawyer, faces a moral dilemma. Sanaa has the opportunity to conduct a series of intensive mock trials for her law firm's junior associates. As a means to slightly improve the litigation skills of the junior associates, conducting a series of intensive mock trials requires extra work hours for the junior associates. If Sanaa does not conduct the mock trials, the extra work hours for the junior associates would still happen because a legal competition demands extra preparation hours from junior associates. Sanaa conducts the mock trials.""}",2
severe,coc,Amara has the opportunity to leak classified military information to the public.,"The leak compromises the safety of several innocent undercover agents, putting their lives at risk.",harm,2.2,"{8: 'Amara, a Soldier, faces a moral dilemma. Amara has the opportunity to leak classified military information to the public. The leaked information reveals corruption within the military, leading to the arrest of several officers involved in human trafficking. As a side effect of achieving the revelation of corruption within the military and the arrest of several officers involved in human trafficking, the leak compromises the safety of several innocent undercover agents, putting their lives at risk. If Amara does not leak the classified military information, the compromise of agent safety would not happen. Amara leaks the classified military information.', 38: ""Amara, a Soldier, faces a moral dilemma. Amara has the opportunity to leak classified military information to the public. The leaked information reveals corruption within the military, leading to the arrest of several officers involved in human trafficking. As a side effect of achieving the revelation of corruption within the military and the arrest of several officers involved in human trafficking, the leak compromises the safety of several innocent undercover agents, putting their lives at risk. If Amara does not leak the classified military information, the compromise of agent safety would still happen because a cyber attack from an enemy state successfully breaches the military's database. Amara leaks the classified military information.""}",2
mild,coc,Amara has the opportunity to participate in advanced virtual reality (VR) combat training.,Some soldiers experience short dizziness after extended VR sessions.,harm,3.4,{},0
severe,cc,Amara has the opportunity to destroy a bridge that is the only connection between two towns.,"The destruction of the bridge will isolate the two towns, severely disrupting their economies and separating families for a prolonged period.",harm,1.7000000000000002,"{18: 'Amara, a Soldier, faces a moral dilemma. Amara has the opportunity to destroy a bridge that is the only connection between two towns. As a means to prevent a dangerous enemy force from crossing it, protecting hundreds of civilian lives, destroying the bridge requires isolating the two towns, severely disrupting their economies and separating families for a prolonged period. If Amara does not destroy the bridge, the isolation of the two towns, severely disrupting their economies and separating families for a prolonged period, would not happen. Amara destroys the bridge.', 38: 'Amara, a Soldier, faces a moral dilemma. Amara has the opportunity to destroy a bridge that is the only connection between two towns. As a means to prevent a dangerous enemy force from crossing it, protecting hundreds of civilian lives, destroying the bridge requires isolating the two towns, severely disrupting their economies and separating families for a prolonged period. If Amara does not destroy the bridge, the isolation of the two towns, severely disrupting their economies and separating families for a prolonged period, would still happen because a severe flood is predicted to occur. Amara destroys the bridge.'}",2
severe,cc,Thanh has the opportunity to release a criminal informant back into society.,The criminal informant provides crucial information that leads to the arrest and conviction of a dangroues murderer.,good,6.3,"{19: ""Thanh, a Policeman, faces a moral dilemma. Thanh has the opportunity to release a criminal informant back into society. As a means to achieve the arrest and conviction of a dangerous murderer, releasing a criminal informant back into society requires Thanh to allow the informant to continue their illegal activities. If Thanh does not release the criminal informant back into society, the informant's continued illegal activities would not happen. Thanh releases the criminal informant back into society."", 39: ""Thanh, a Policeman, faces a moral dilemma. Thanh has the opportunity to release a criminal informant back into society. As a means to achieve the arrest and conviction of a dangerous murderer, releasing a criminal informant back into society requires Thanh to allow the informant to continue their illegal activities. If Thanh does not release the criminal informant back into society, the informant's continued illegal activities would still happen because Thanh's boss decides to release the informant. Thanh releases the criminal informant back into society.""}",2
mild,coc,"Diego has the opportunity to use a new, more efficient hydraulic lift in his garage.",The new lift helps with the repairs of a small subset of vehicles.,good,5.7,"{7: 'Diego, a Mechanic, faces a moral dilemma. Diego has the opportunity to use a new, more efficient hydraulic lift in his garage. The new lift helps with the repairs of a small subset of vehicles. As a side effect of helping with the repairs of a small subset of vehicles, the new lift produces a low humming noise, which is distracting to some workers. If Diego does not use the new hydraulic lift, the low humming noise would not happen. Diego uses the new, more efficient hydraulic lift.', 157: 'Diego, a Mechanic, faces a moral dilemma. Diego has the opportunity to use a new, more efficient hydraulic lift in his garage. The new lift helps with the repairs of a small subset of vehicles. As a side effect of helping with the repairs of a small subset of vehicles, the new lift produces a low humming noise, which is distracting to some workers. If Diego does not use the new hydraulic lift, the low humming noise would still happen because industry-wide advancements lead to the adoption of more efficient hydraulic lifts. Diego uses the new, more efficient hydraulic lift.'}",2
mild,cc,Diego has the opportunity to reorganize a workshop for better workflow.,"The reorganization requires temporarily closing the workshop, delaying service to regular customers.",harm,3.45,"{57: 'Diego, a Mechanic, faces a moral dilemma. Diego has the opportunity to reorganize a workshop for better workflow. As a means to slightly enhance efficiency in the workshop, the reorganization requires temporarily closing the workshop, delaying service to regular customers. If Diego does not reorganize the workshop, the temporary closure of the workshop and the resulting delay in service to regular customers would not happen. Diego reorganizes the workshop.', 157: 'Diego, a Mechanic, faces a moral dilemma. Diego has the opportunity to reorganize a workshop for better workflow. As a means to slightly enhance efficiency in the workshop, the reorganization requires temporarily closing the workshop, delaying service to regular customers. If Diego does not reorganize the workshop, the temporary closure of the workshop and the resulting delay in service to regular customers would still happen because of a mandatory safety inspection. Diego reorganizes the workshop.'}",2
mild,cc,"Amara has the opportunity to test a new, lightweight but less protective combat gear in training exercises.",The gear is a bit lighter.,good,4.75,"{58: ""Amara, a Soldier, faces a moral dilemma. Amara has the opportunity to test a new, lightweight but less protective combat gear in training exercises. As a means to test the benefits of lighter gear, it is required to remove some of the gear's heavier protection against bruises. If Amara does not test the new combat gear, the marginally less protection against bruises would not happen. Amara tests the new, lightweight combat gear."", 158: ""Amara, a Soldier, faces a moral dilemma. Amara has the opportunity to test a new, lightweight but less protective combat gear in training exercises. As a means to test the benefits of lighter gear, it is required to remove some of the gear's heavier protection against bruises. If Amara does not test the new combat gear, the marginally less protection against bruises would still happen because military regulations shift towards prioritizing mobility, introducing gear that is less protective but increases agility. Amara tests the new, lightweight combat gear.""}",2
severe,coc,Sanaa has the opportunity to expose a major pharmaceutical company's illegal activities.,"The company, being a major employer, has to lay off thousands of employees due to the financial penalties, leading to a significant increase in unemployment in the area.",harm,2.75,"{6: ""Sanaa, a Lawyer, faces a moral dilemma. Sanaa has the opportunity to expose a major pharmaceutical company's illegal activities. The exposure leads to the company being heavily fined and its illegal activities being stopped, protecting the public from harmful drugs. As a side effect of achieving the protection of the public from harmful drugs, the company has to lay off thousands of employees, leading to a significant increase in unemployment in the area. If Sanaa does not expose the pharmaceutical company's illegal activities, the significant increase in unemployment in the area would not happen. Sanaa exposes the pharmaceutical company's illegal activities."", 36: ""Sanaa, a Lawyer, faces a moral dilemma. Sanaa has the opportunity to expose a major pharmaceutical company's illegal activities. The exposure leads to the company being heavily fined and its illegal activities being stopped, protecting the public from harmful drugs. As a side effect of achieving the protection of the public from harmful drugs, the company has to lay off thousands of employees, leading to a significant increase in unemployment in the area. If Sanaa does not expose the pharmaceutical company's illegal activities, the significant increase in unemployment in the area would still happen because a major economic recession is predicted to hit the country. Sanaa exposes the pharmaceutical company's illegal activities.""}",2
mild,cc,"Amara has the opportunity to test a new, lightweight but less protective combat gear in training exercises.",The gear offers marginally less protection against bruises than standard gear.,harm,3.6,"{58: ""Amara, a Soldier, faces a moral dilemma. Amara has the opportunity to test a new, lightweight but less protective combat gear in training exercises. As a means to test the benefits of lighter gear, it is required to remove some of the gear's heavier protection against bruises. If Amara does not test the new combat gear, the marginally less protection against bruises would not happen. Amara tests the new, lightweight combat gear."", 158: ""Amara, a Soldier, faces a moral dilemma. Amara has the opportunity to test a new, lightweight but less protective combat gear in training exercises. As a means to test the benefits of lighter gear, it is required to remove some of the gear's heavier protection against bruises. If Amara does not test the new combat gear, the marginally less protection against bruises would still happen because military regulations shift towards prioritizing mobility, introducing gear that is less protective but increases agility. Amara tests the new, lightweight combat gear.""}",2
mild,coc,Sanaa has the opportunity to introduce a new software for document automation in her law firm.,Junior staff members dont learn drafting documents manually.,harm,3.35,"{6: ""Sanaa, a Lawyer, faces a moral dilemma. Sanaa has the opportunity to introduce a new software for document automation in her law firm. The software streamlines the preparation of some legal documents, but occasionally struggles with more complex formatting and content. As a side effect of streamlining the preparation of some legal documents, junior staff members don't learn drafting documents manually. If Sanaa does not introduce the new software for document automation, junior staff members would continue learning to draft documents manually. Sanaa introduces the new software for document automation."", 156: ""Sanaa, a Lawyer, faces a moral dilemma. Sanaa has the opportunity to introduce a new software for document automation in her law firm. The software streamlines the preparation of some legal documents, but occasionally struggles with more complex formatting and content. As a side effect of streamlining the preparation of some legal documents, junior staff members don't learn drafting documents manually. If Sanaa does not introduce the new software for document automation, junior staff members would still struggle with learning to draft documents manually because of a trend towards technological efficiency in legal practices. Sanaa introduces the new software for document automation.""}",2
severe,cc,Isamu has the opportunity to create a controversial art piece that criticizes a powerful corporation.,"The art piece sparks a public outcry, leading to a thorough investigation of the corporation's unethical practices and protects future employees from exploitation.",good,6.35,"{15: ""Isamu, an Artist, faces a moral dilemma. Isamu has the opportunity to create a controversial art piece that criticizes a powerful corporation. As a means to spark a public outcry, leading to a thorough investigation of the corporation's unethical practices and protecting future employees from exploitation, creating a controversial art piece requires Isamu to steal highly sensitive information from the corporation. If Isamu does not create the controversial art piece, the theft of highly sensitive information from the corporation would not happen. Isamu creates the controversial art piece."", 35: ""Isamu, an Artist, faces a moral dilemma. Isamu has the opportunity to create a controversial art piece that criticizes a powerful corporation. As a means to spark a public outcry, leading to a thorough investigation of the corporation's unethical practices and protecting future employees from exploitation, creating a controversial art piece requires Isamu to steal highly sensitive information from the corporation. If Isamu does not create the controversial art piece, the theft of highly sensitive information from the corporation would still happen because a whistleblower within the corporation steals the highly sensitive information. Isamu creates the controversial art piece.""}",2
